22,8.27E+17, Wed Feb 01 02:58:25 +0000 2017,1.49E+12, on morphine reading about marie colvins final assignment  heaven waiting for a ct scan. might ,  morphine,314090359, fowlerruth, storyteller. welsh. words  pictures. agent casarotto. manager mgmt 360.,0,0,2049, South LA / London, {'type': 'Point': 'coordinates': [34.027401: -118.4861406]}
26,8.27E+17, Wed Feb 01 03:03:21 +0000 2017,1.49E+12, give me a hit of amnesia so that i can forget that i need ya. give me morphine to make it much easier.,  morphine,64756279, laurynhaleighc, im a mom and dont even have kids yet,0,0,568, Orchard Park: NY, None
45,8.27E+17, Wed Feb 01 03:37:53 +0000 2017,1.49E+12, if you ever leave me  baby  leave some morphine at my door cause it would take a whole lot of medication,  morphine,250321906, 3ziz_alkanderi, my life is my story fashion travel snapaz.alkanderi dont believe me just watch business  inquiries az.alkanderi@hotmail.com,0,0,691, California: USA, None
93,8.27E+17, Wed Feb 01 05:37:46 +0000 2017,1.49E+12, they gave me morphine. its lit,  morphine,2208211626, jill_fleek, the weird science guy,0,0,292, Bhico: CA, None
123,8.27E+17, Wed Feb 01 09:51:23 +0000 2017,1.49E+12, this morphine has my grandma talking crazy and were all laughing but its also kinda sad cause she has no idea,  morphine,616729805, _ThatGirlSerena,131,0,0,554, Dallas: TX, None
273,8.27E+17, Thu Feb 02 01:43:23 +0000 2017,1.49E+12, or maybe its just morphine that has jacked with my tastebuds,  morphine,25874280, riley_shapter, takemorepicsofurfriends,0,0,361, Plano: TX, None
284,8.27E+17, Thu Feb 02 02:28:06 +0000 2017,1.49E+12, @jenkurka what was your reaction to morphine,  morphine,67316708, HawkeyeMommeye, the most diehard hawkeyes  cubs  blackhawks fan you know hawkeyestate,0,0,357, Chi-town's North Shore, None
289,8.27E+17, Thu Feb 02 02:42:21 +0000 2017,1.49E+12, @jenkurka cant find anything differentiating btw morphine vomiting amp codeine vomiting.only that theyre the 2 most likely opioids to cause.,  morphine,67316708, HawkeyeMommeye, the most diehard hawkeyes  cubs  blackhawks fan you know hawkeyestate,0,0,357, Chi-town's North Shore, None
292,8.27E+17, Thu Feb 02 02:48:36 +0000 2017,1.49E+12, lmaoooo i was going through my drafts and these were all the ones when i was knocked up on morphine in the hospital ,  morphine,7.57E+17, AintUMilly, have hope. ripjoe cd63 rest easy lac 01142017 foreveralways. keep fighting. god is with me.,0,0,343, Chicago: IL, None
302,8.27E+17, Thu Feb 02 03:12:26 +0000 2017,1.49E+12, i be looking like this  when my nurse give me that gram of morphine every 4 hours ,  morphine,815702671, _majorKEYY, my ambition to win  just to get me some ends. help me pay my lil rent  probably sit in a benz,0,0,428, Suitland: MD, None
338,8.27E+17, Thu Feb 02 05:32:13 +0000 2017,1.49E+12, im tryn stay up til my nurse come take me off this damn iv but this morphine got me drowsy asf,  morphine,815702671, _majorKEYY, my ambition to win  just to get me some ends. help me pay my lil rent  probably sit in a benz,0,0,427, Suitland: MD, None
339,8.27E+17, Thu Feb 02 05:33:17 +0000 2017,1.49E+12, put in grindrelief anticlenching mouthguard  hooked up morphine drip  blackened out eyes on mitch mcconnell poppet. time for bed,  morphine,12562402, jenspyra, writer for the late show with stephen colbert  formerly senior writer at the onion. robe hound,0,0,892, NYC, None
364,8.27E+17, Thu Feb 02 07:27:54 +0000 2017,1.49E+12, thingsyoudontaskalexa to order me morphine from a canadian pharmacy.,  morphine,14249393, clarkemtp, gif war  hashtag gaming intellectual. im funny. also awkward  tactless  self deprecating  adult humor.      cohost of the clark  heather show. ,0,0,884, Portland: TX, None
97,8.40E+17, Fri Mar 10 03:44:10 +0000 2017,1.49E+12, some lady at the er is high off morphine and keeps throwing things at me and yelling at me to talk to her,  morphine,319525951, majesticmaira, natural poet. possible politician.,0,0,339, The World, None
149,8.40E+17, Fri Mar 10 05:58:43 +0000 2017,1.49E+12, heroine was developed as a synthetic  nonaddictive version of morphine. more you know  more you pwn. purepwnge,  morphine,130871577, slanderman64, the truth will set you free.,0,0,507, United States, None
165,8.40E+17, Fri Mar 10 06:43:00 +0000 2017,1.49E+12, sister morphine,  morphine,600589186, steffysteff4, snap  ig steffysteff4.,0,0,529, None, None
198,8.40E+17, Fri Mar 10 13:05:49 +0000 2017,1.49E+12, if you ever leave me  baby  leave some morphine at my door...,  morphine,402882600, ewilqueen, o sangue de gzuis tem poder  ,0,0,101, ct: usa , None
291,8.40E+17, Fri Mar 10 18:02:25 +0000 2017,1.49E+12, @muhdeezy listen grab the ice packs  icy hot  preferably bottled water  morphine  and fuzzy blankets and you got a deal mamas,  morphine,7.92E+17, savannajaetee7, duo@jennifermeggan7  twenty  annoying psycho  it cant all be sunshine  hookers ,0,0,428, tired: tx, None
334,8.40E+17, Fri Mar 10 20:02:54 +0000 2017,1.49E+12, this voice. no matter how stressed i am  his voice calms me. my audio morphine. yes  even rusty cage. ,  morphine,24790921, LGMnow, mom of twins. s karate white water  thunder  rolldown windows  prada. wanderer awaiting a new view. karma thumper. sometime writercontributor,0,0,219, NYC. Past:Seattle:Chicago:LA, None
366,8.40E+17, Fri Mar 10 21:32:12 +0000 2017,1.49E+12, @chubbs @claynation i think morphine did worse than whiskey  for me at least.,  morphine,2880399963, ButterMyButts, stuff on twitch. i dont follow back.,0,0,298, None, None
375,8.40E+17, Fri Mar 10 21:49:11 +0000 2017,1.49E+12, @chuckpenn i refused the percocet and also even the morphine drip at the er. i told them that i would just stick to ,  morphine,248518041, BrockDoomFORNOW, adult talentavn 2017 nombook me @atmla  brockdoom@usa.com       ,0,0,1819, West Hollywood + Los Angeles, None
459,8.40E+17, Sat Mar 11 02:08:05 +0000 2017,1.49E+12, pilonidal cyst.  cellulitis.  turnt up on a friday  this post and my expression brought to you by the morphine in ,  morphine,1252201897, AlyTannerRadio, cohost  @jjshowq104 on @q104cleveland follow me on instagramsnapchat @wacskid @cbsradio  yj4l  alysarmy,0,0,696, Cleveland: OH, None
508,8.40E+17, Sat Mar 11 03:54:14 +0000 2017,1.49E+12, @michelebusby they didnt have morphine ramen on the menu  unfortunately,  morphine,51246684, arilevaux, syndicated food columnist contributor to a variety of fine publications. mayologist.,0,0,610, Missoula: MT, None
554,8.40E+17, Sat Mar 11 06:01:16 +0000 2017,1.49E+12, this morphine has me delusional,  morphine,1557133267, mamadarian, wife  mother to august  brielle  redeemed              @jordanicholas,0,0,189, None, None
765,8.41E+17, Sat Mar 11 22:54:33 +0000 2017,1.49E+12, german companies generated 40 of the worlds morphine  and controlled 80 of the global cocaine market ,  morphine,50302004, Mauricio_Rosas, none,0,0,985, Florida: USA, None
768,8.41E+17, Sat Mar 11 23:09:23 +0000 2017,1.49E+12, next up sister morphine.,  morphine,3433385999, syreearmwellion, beacon ov hope  moon tractor beam scream  last tree from the satellites  the recall reset resort colosseum,0,0,23, tko_zzz, None
785,8.41E+17, Sun Mar 12 00:15:22 +0000 2017,1.49E+12, @timharcoff i wish i had morphine now,  morphine,31319925, MattBostelaar, mostly hockey tweets.  sometimes i try and be funny.... the worst at twitter. most of my tweets are catered for @renbostelaar and @samanthamarg,0,0,923, Ottawa: ON: Canada, None
931,8.41E+17, Sun Mar 12 14:59:30 +0000 2017,1.49E+12, @marcmaron awesome show last night. listened to stickyfingers today and i forgot what a great song sister morphine was,  morphine,2733854878, thepherburger, if youre not weird you are boring,0,0,223, albany:ny, None
997,8.41E+17, Sun Mar 12 19:48:24 +0000 2017,1.49E+12, about to find out if nascar and morphine mix,  morphine,15559578, austom1, none,0,0,171, None, None
1001,8.41E+17, Sun Mar 12 20:09:45 +0000 2017,1.49E+12, 22 it would have been so easy and kind so slip him extra morphine but we couldnt. i cannot imagine the guilt id ,  morphine,81428340, KurtRexCooper, bring the ancient in to the present with an elegant kurt cooper neoclassical sculpture  says kurt. he is progressive  a lifter  and gay.,0,0,1100, Tucson: Arizona, None
1008,8.41E+17, Sun Mar 12 20:34:24 +0000 2017,1.49E+12, sour diesel is responsible for less morphine in my system. staylifted,  morphine,44774678, davod420, confirmed atheist and cannabis enthusiast. religion and astrology free. chilling with my jack russell rey. very single. lets go mets now go get high.,0,0,2358, tucson az, None
1066,8.41E+17, Mon Mar 13 00:34:47 +0000 2017,1.49E+12, the three stages of morphine that i faced today. enjoy. ,  morphine,794959910, GracieSeibert, people disappoint  pizza is eternal 504smttt i like my dog more than whoever is reading this.,0,0,219, Baton Rouge: LA, None
1120,8.41E+17, Mon Mar 13 04:08:17 +0000 2017,1.49E+12, @blazermc88 i was in agony  holding down the morphine drip button. the ambulance pulled over  i figured whew halfway. nope  still 2.5 hrs.,  morphine,933270685, jneutron1969, conservative. texan. dad. sport aviation. i hate raisins. named people magazines sexiest man alive 2016. i detest the un. neverraisins,0,0,2924, Plano: Texas, None
1134,8.41E+17, Mon Mar 13 05:04:00 +0000 2017,1.49E+12, even outside of combat this is bad in combat  its fatal. so they did all they knew how to do gave them morphine. @fjthom,  morphine,1684625450, BootlegGirl, posts not views of employer.  nsfw topic discussion. trans  has cavernous nonexistent spider vag. im not my own person im @chrysopoetics lamp. academic goth,0,0,2020, Philadelphia: PA, None
1135,8.41E+17, Mon Mar 13 05:04:49 +0000 2017,1.49E+12, after like  wow  we sure hooked a lot of guys on morphine  sure we have to be able to block coughs without getting you @fjthom,  morphine,1684625450, BootlegGirl, posts not views of employer.  nsfw topic discussion. trans  has cavernous nonexistent spider vag. im not my own person im @chrysopoetics lamp. academic goth,0,0,2020, Philadelphia: PA, None
1142,8.41E+17, Mon Mar 13 05:19:37 +0000 2017,1.49E+12, thats right because its a morphine deriviative  dxm retains its painkilling properties  but adds mental ones,  morphine,1684625450, BootlegGirl, posts not views of employer.  nsfw topic discussion. trans  has cavernous nonexistent spider vag. im not my own person im @chrysopoetics lamp. academic goth,0,0,2020, Philadelphia: PA, None
1253,8.41E+17, Mon Mar 13 16:04:20 +0000 2017,1.49E+12, those pink and green insects were right out of my morphine hallucinations when i was in the hospital. they were praying mantises ,  morphine,16504257, Nnedi, naijamerican professor  rudimentary cyborg  world fantasy  hugo and nebula awardwinning  author of scifi  magical futurism  juju fantasy  mystical realism.,0,0,304, The Greeny Jungle, None
1304,8.41E+17, Mon Mar 13 17:52:56 +0000 2017,1.49E+12, i could hook up my heart to your ears and let my tears be your morphine drip because maybe its easier to let you slip away.,  morphine,3310818530, toweirdtolive3, all we have are our wounds to wear like decorations upon our skin. 19. mwb. lost on chicago. @soulvices is my best friend,0,0,791, Wisconsin, None
1321,8.41E+17, Mon Mar 13 18:44:32 +0000 2017,1.49E+12, @anamardoll maybe morphine will work.,  morphine,3219761382, frosty8556, native of nashville  tn. hate the name trump  big fan of stephen king  pittsburgh steelers   john grisham. like dogs. changing tn. politics  voters up ,0,0,4603, Nashville: TN, None
1332,8.41E+17, Mon Mar 13 19:22:56 +0000 2017,1.49E+12, vicodin doesnt work for me the hospital was shocked because morphine doesnt even work wtf am i suppose to do,  morphine,43527934, Laesneniel_, as real as it gets. dont expect me to hold back on anything,0,0,454, Detroit: MI, None
1366,8.41E+17, Mon Mar 13 21:07:33 +0000 2017,1.49E+12, can i have 2 xans 2 oxys 2 morphines 1 fetnyl patch i cant handle this ,  morphine,2374853725, Raul_alegria35, wuuuubzzzzzzz bassjunkie dpmo ganggang sbww weirdobutimrealtho vomitstep ihitmoretreesthanablindtarzan woke suhdude sbww amg,0,0,1072, None, None
