230,8.27E+17, Wed Feb 01 23:24:28 +0000 2017,1.49E+12, for the next 4 weeks i will be tweeting through the oxycodone. if i cuss you out blame the drugs.,  oxycodone,157704784, allcurledup, wife. mother. foodie. mma. nomini hall slave legacy project. ravens nation.jackie of all trades master of most. food justice advocate. oespha,0,0,2381, Baltimore, None
237,8.27E+17, Wed Feb 01 23:53:01 +0000 2017,1.49E+12, exnfl player derek loville pleads guilty in san diego federal drug case to selling oxycodone and ecstasy. ,  oxycodone,60115647, SanDiegoCP, latest news from san diego. updates are frequent.,0,0,20, San Diego: CA, {'type': 'Point': 'coordinates': [32.7143122: -117.16627197]}
9,8.40E+17, Fri Mar 10 01:35:07 +0000 2017,1.49E+12, 1.4m of oxycodone seized at otay mesa border crossing ,  oxycodone,60115647, SanDiegoCP, latest news from san diego. updates are frequent.,0,0,20, San Diego: CA, {'coordinates': [32.7143122: -117.16627197]: 'type': 'Point'}
125,8.40E+17, Fri Mar 10 04:53:51 +0000 2017,1.49E+12, a bottle of oxycodone  1200 milligrams of edibles. ,  oxycodone,218278015, Potatopunches71, cohost of the mr. bs show. listen to @midnightsmoke1  @themrbsshow  and me on itunes  sticher  soundcloud and the ,0,0,1364, Colorado: USA, None
139,8.40E+17, Fri Mar 10 05:32:05 +0000 2017,1.49E+12, woman arrested after largest seizure of oxycodone at the border in recent years ,  oxycodone,60115647, SanDiegoCP, latest news from san diego. updates are frequent.,0,0,20, San Diego: CA, {'coordinates': [32.7143122: -117.16627197]: 'type': 'Point'}
219,8.40E+17, Fri Mar 10 14:29:26 +0000 2017,1.49E+12, yeah im so happy im off the oxycodone nastystuff and am on the med pot. such a life changer tcnt,  oxycodone,349435890, busyman1653, i am a very hardworking man with a wonderful wife 2 children also known as monkey  mr.   who is trying to make it in this nutty world.,0,0,67, saint paul, None
362,8.40E+17, Fri Mar 10 21:08:08 +0000 2017,1.49E+12, 1.4 million in oxycodone found hidden in womans car at otay mesa border ,  oxycodone,55218049, LosAngelesCP, breaking news and weather updates from los angeles.,0,0,22, Los Angeles, {'coordinates': [34.05161048: -118.24533538]: 'type': 'Point'}
420,8.40E+17, Sat Mar 11 00:26:19 +0000 2017,1.49E+12, the ones with oxycodone and labeled a215 rt @kasg973 whats yal favorite e pills,  oxycodone,8.28E+17, SomervilleGunna, philly lightweight boxer. armyvet badboyzboxing freelanny,0,0,84, nabawiyyah masjid, {'coordinates': [40.062652: -75.146959]: 'type': 'Point'}
435,8.40E+17, Sat Mar 11 01:20:32 +0000 2017,1.49E+12, no its make your high better your face will pulse a lil tho rt @richlonelyjuan hey yall  is it a bad idea to mix oxycodone and marijuana,  oxycodone,8.28E+17, SVtopsideMike, philly lightweight boxer. armyvet badboyzboxing freelanny,0,0,84, nabawiyyah masjid, {'coordinates': [40.062063: -75.146807]: 'type': 'Point'}
591,8.40E+17, Sat Mar 11 09:46:36 +0000 2017,1.49E+12, 1.4 million in oxycodone was found hidden in womans car at otay mesa border ,  oxycodone,55218049, LosAngelesCP, breaking news and weather updates from los angeles.,0,0,22, Los Angeles, {'coordinates': [34.05161048: -118.24533538]: 'type': 'Point'}
